time_iso8601,forks_cumulative
2025-08-18 00:00:00+00:00,1
2025-10-09 00:00:00+00:00,2
2025-10-23 00:00:00+00:00,3
2025-11-01 00:00:00+00:00,4
2025-11-04 00:00:00+00:00,5
2025-11-05 00:00:00+00:00,6
2025-11-24 00:00:00+00:00,7
2025-12-07 00:00:00+00:00,8
2026-01-14 00:00:00+00:00,9
2026-01-15 00:00:00+00:00,10
2026-02-03 00:00:00+00:00,11
2026-02-10 00:00:00+00:00,12
2026-02-26 00:00:00+00:00,13
2026-03-13 00:00:00+00:00,14
2026-05-15 00:00:00+00:00,15
2026-05-28 00:00:00+00:00,16
2026-06-01 00:00:00+00:00,17
2026-06-09 00:00:00+00:00,18
