time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,13,9,7,6
2026-06-25 00:00:00+00:00,27,14,8,5
2026-06-26 00:00:00+00:00,30,11,8,7
2026-06-27 00:00:00+00:00,30,12,17,9
2026-06-28 00:00:00+00:00,25,13,11,9
2026-06-29 00:00:00+00:00,16,10,3,3
2026-06-30 00:00:00+00:00,18,11,6,6
2026-07-01 00:00:00+00:00,35,20,14,10
2026-07-02 00:00:00+00:00,13,9,4,3
2026-07-03 00:00:00+00:00,45,13,5,3
2026-07-04 00:00:00+00:00,28,17,13,8
2026-07-05 00:00:00+00:00,29,15,20,14
2026-07-06 00:00:00+00:00,31,18,10,5
2026-07-07 00:00:00+00:00,16,10,20,12
